source,url,question,answer,wrong_answer
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,Can I get welfare?,Yes. ,"Welfare bodies want a ban on housing evictions for the next few months to support people who have lost their income because of the coronavirus outbreak.
So far, however, that's not happening.
The WA Government has frozen all 'household fees and charges' - this doesn't include rent. It will mean electricity, water, motor vehicle charges, the emergency services levy and public transport fares in the state will not increase until at least July 2021.
"
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,Do I still have to pay rent?,"Welfare bodies want a ban on housing evictions for the next few months to support people who have lost their income because of the coronavirus outbreak.
So far, however, that's not happening.
The WA Government has frozen all 'household fees and charges' - this doesn't include rent. It will mean electricity, water, motor vehicle charges, the emergency services levy and public transport fares in the state will not increase until at least July 2021.
","Physical distancing is the reason the Federal Government has closed pubs, indoor sporting venues and churches across Australia.
The situation with schools varies state by state. Queensland, South Australia, Western Australia, Tasmania and Northern Territory will keep schools open for the children of essential workers but will began to implement pupil-free days in the coming weeks. Victoria and ACT schools are already on break. NSW schools remain open but students are encouraged to stay at home.
The Prime Minister has said all ""non-essential"" travel within Australia should be cancelled. Western Australia and South Australia have closed their borders - any arrivals after Tuesday afternoon, March 24, will be required to self-isolate for 14 days.
The goal of these social distancing measures is to avoid a worst-case scenario that would see four million Australians contract COVID-19 in a single wave.
Slowing the spread may prevent health services from being overwhelmed by coronavirus cases.
From midnight on Wednesday, March 25, these activities and businesses will no longer be allowed to continue:
Amusement parks and arcadesIndoor and outdoor play centresCommunity and recreation centres, health clubs, fitness centres, yoga, barre, spin facilities, saunas, wellness centresPublic swimming poolsGalleries, museums, national institutions, historic sites, libraries, community centresAuction housesReal estate auctions and open house inspectionsIn-store beauty therapy, tanning, waxing, nail salons and tattoo parlours, spa and massage parlours (excluding allied-health-related services, like physiotherapy)Food courts within shopping centres will only be able to sell takeaway. Shopping centres themselves will remain openHairdressers and barber shops can continue, but a customer must not be on the premises longer than one hourPersonal training and boot camps are limited to a maximum of 10 peopleWeddings can continue, but only with the couple, the celebrant, and witnesses totalling a maximum of five peopleFunerals are limited to a maximum of 10 peopleOutdoor and indoor food markets will be addressed by individual states and territories"
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,Can you catch coronavirus twice?,"A definitive answer is not yet known, but experts say reinfection seems unlikely.","As cases of coronavirus surge, health authorities are advising Australians to practise physical distancing (also called social distancing) as much as possible to limit transmission. Physical distancing is what everyone can do - like staying home - regardless of whether or not they've been exposed to coronavirus.
Self-isolating or self-quarantining is a more strict and onerous kind of physical distancing - it means cutting yourself off from the outside world.All passengers who arrive in Australia are going into mandatory quarantine in hotels for a fortnight.
Western Australia, South Australia, Queensland, Northern Territory and Tasmania have also essentially closed their borders - any arrivals are required to self-isolate for 14 days."
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,Are there any extra risks for pregnant women or their developing babies?,"The peak body for obstetrics and gynaecology and women's health, RANZCOG, has advice and information about COVID-19.
At this time, pregnant women do not appear to be more severely unwell if they develop COVID-19 infection than the general populationThere is no evidence to suggest an increased risk of miscarriageThere is no evidence to suggest the virus can pass to your developing babyThere is no evidence the virus is carried in breastmilk","As cases of coronavirus surge, health authorities are advising Australians to practise physical distancing (also called social distancing) as much as possible to limit transmission. Physical distancing is what everyone can do - like staying home - regardless of whether or not they've been exposed to coronavirus.
Self-isolating or self-quarantining is a more strict and onerous kind of physical distancing - it means cutting yourself off from the outside world.All passengers who arrive in Australia are going into mandatory quarantine in hotels for a fortnight.
Western Australia, South Australia, Queensland, Northern Territory and Tasmania have also essentially closed their borders - any arrivals are required to self-isolate for 14 days."
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,Are schools and unis closed? Will they close?,"Other countries have closed schools and universities as a social distancing measure, however Australia has not yet taken this step.
The situation with schools varies state by state. Queensland, South Australia, Western Australia, Tasmania and Northern Territory will keep schools open for the children of essential workers but will began to implement pupil-free days in the coming weeks. Victoria and ACT schools are already on break. NSW schools remain open but students are encouraged to stay at home.
Several schools around the country have closed temporarily after a staff member or student tested positive for the virus.
Some universities have chosen to close their campuses.","The Prime Minister has also said all ""non-essential"" travel within Australia should be cancelled. Western Australia, South Australia, Queensland, Northern Territory and Tasmania have essentially closed their borders - any arrivals are required to self-isolate for 14 days."
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,How far away is a cure or vaccine?,"About 35 companies and academic institutions are racing to create such a vaccine, at least four of which already have candidates they have been testing in animals.
The first of these has begun testing in Seattle.
However, even if the trials prove the experimental vaccine is safe and effective, it will still be many months before it can be mass-produced and distributed.",Your doctor will tell you if you need to get tested.
ABC News,https://abcnews.go.com/Health/coronavirus-symptoms-questions-covid-19-answered/story?id=69768755,What are the symptoms?,"Novel coronavirus can cause symptoms that range from mild to severe, including cough, fever and shortness of breath. Since the symptoms are similar to those of pneumonia, influenza and the common cold, only a diagnostic test can confirm whether an individual has coronavirus.","The decision may be out of your hands.

The U.S. State Department has a Level 4 global health advisory in place, which says that Americans should avoid all international travel because of COVID-19.

""In countries where commercial departure options remain available, U.S. citizens who live in the United States should arrange for immediate return to the United States, unless they are prepared to remain abroad for an indefinite period,"" the advisory reads.

The situation is fluid and rapidly evolving, so you should check the State Department's website often and use that information to inform your decisions.

Many countries experiencing outbreaks are implementing travel restrictions, mandatory quarantines and border closures with little advanced notice, and some Americans traveling in those countries have found themselves stranded, without a way to get home. 

If you are in a high-risk group, meaning you are an older person, or have an underlying medical condition, ""you should now be thinking about social distancing,"" Schaffner advised.

""Part of that is thinking really hard about whether you need to get on an airplane,"" he said. ""I think this is a good time to postpone those trips.""

Even if your trip is to a low-risk area, traveling on a plane will mean being in an enclosed space with fellow travelers. The CDC now recommends that all travelers, especially those with underlying health conditions, avoid cruise ships."
ABC News,https://abcnews.go.com/Health/coronavirus-symptoms-questions-covid-19-answered/story?id=69768756,How is it transmitted?,"The first cases of COVID-19 were believed to be linked to a live-animal market in China, but the virus has since been spreading from person to person.

Person-to-person transmission is most likely between people in close contact, about 6 feet. When a person infected with novel coronavirus sneezes or coughs, respiratory droplets could land on people nearby or could possibly be inhaled by those people.

While the virus can be transmitted by touching objects or surfaces contaminated with COVID-19, health experts don't currently believe that's primarily how it's transmitted.","A study of previous coronaviruses found human coronaviruses could theoretically last on surfaces at room temperature for up to nine days.

That length of time could depend on:

The type of surface, because viruses survive on shiny, hard surfaces longer than soft ones;
Whether it is exposed to sunlight, because UV radiation kills viruses; and
Temperature and humidity, because viruses last longer at lower temperatures and lower humidity."
ABC News,https://abcnews.go.com/Health/coronavirus-symptoms-questions-covid-19-answered/story?id=69768757,I live in the United States. What should I do?,"While specific guidelines vary from city to city, the Centers for Disease Control and Prevention (CDC) has advised that Americans practice social distancing, and stay home, avoid mass gatherings and maintain 6 feet between themselves and others whenever possible. These efforts are intended to help ""flatten the curve,"" which means distributing the number of coronavirus cases over a longer period of time, to avoid overwhelming the health care system.

Americans should continue to uphold proper flu season hygiene. Wash your hands often, stay home if you're sick and cough or sneeze into your elbow rather than your hand.

If schools in your district have not yet closed, Dr. William Schaffner, medical director for the nonprofit National Foundation for Infectious Diseases, suggested sitting down and outlining a plan for how your family might handle schools and businesses closing. Does an older relative take prescription medication? Now might be a good time to stockpile at least two weeks' worth.

Call schools and ask if there are plans for remote schooling -- as some schools have done. Figure out a childcare plan in the event schools close, and ask about remote working options. Asking more questions now hopefully means asking fewer later.","Not unless you are the one who is sick.

The CDC doesn’t currently recommend any healthy person wear a mask and doctors warn fiddling with putting on and taking off a mask could backfire by exposing your hands to your face.

""Surgical masks fit rather loosely around the face and are not constructed, nor thick enough, to prevent infection,"" Schaffner said.

While they could have a modest benefit, any protection they provide is likely more psychological than scientific. N-95 masks, which hospitals use, are expensive and aren't easy to wear, meaning they're not a practical option for everyday use. As health officials have noted, masks should be reserved for the health care workers, not the general public.

In recent weeks, N-95 masks have grown so scarce that the White House is asking Americans who have them, as well as construction companies, to donate them to hospitals, so that health care workers aren't forced to treat COVID-19 patients without a mask, which puts them at risk for contracting the virus themselves.

""The other thing a mask can do is give you a false sense of security, and that's not helpful,"" said Dr. Michael Merson, a visiting professor at NYU's School of Global Public Health and a professor at Duke University. Masks work better at preventing people who are coughing and sneezing from spreading respiratory droplets and infecting others, but ""those people who are sick should probably be at home anyway.""

"
ABC News,https://abcnews.go.com/Health/coronavirus-symptoms-questions-covid-19-answered/story?id=69768758,Should I wear a face mask?,"Not unless you are the one who is sick.

The CDC doesn’t currently recommend any healthy person wear a mask and doctors warn fiddling with putting on and taking off a mask could backfire by exposing your hands to your face.

""Surgical masks fit rather loosely around the face and are not constructed, nor thick enough, to prevent infection,"" Schaffner said.

While they could have a modest benefit, any protection they provide is likely more psychological than scientific. N-95 masks, which hospitals use, are expensive and aren't easy to wear, meaning they're not a practical option for everyday use. As health officials have noted, masks should be reserved for the health care workers, not the general public.

In recent weeks, N-95 masks have grown so scarce that the White House is asking Americans who have them, as well as construction companies, to donate them to hospitals, so that health care workers aren't forced to treat COVID-19 patients without a mask, which puts them at risk for contracting the virus themselves.

""The other thing a mask can do is give you a false sense of security, and that's not helpful,"" said Dr. Michael Merson, a visiting professor at NYU's School of Global Public Health and a professor at Duke University. Masks work better at preventing people who are coughing and sneezing from spreading respiratory droplets and infecting others, but ""those people who are sick should probably be at home anyway.""

","Yes, but kids rarely have severe symptoms.

Reports from China include children who have contracted COVID-19, but those children typically had very mild symptoms and the majority of cases were diagnosed in adults. Severe complications from coronavirus, like acute respiratory distress syndrome and septic shock, are rare among kids. Similar to adults, children with underlying health problems may be at increased risk risk for complications associated with COVID-19.
"
ABC News,https://abcnews.go.com/Health/coronavirus-symptoms-questions-covid-19-answered/story?id=69768759,Should I be tested for the virus?,"It's not completely up to you.

The CDC recently rolled out new guidance, allowing anyone to be tested for COVID-19 without restrictions, as long as their doctor approves. Testing is on the rise in the U.S., but experts say it is not yet enough.

If you have traveled to an area with local transmission or have been in close contact with someone who has been exposed to the virus, and develop symptoms, such as cough or fever, your health care provider can work with the local health department to determine whether you should be tested for COVID-19.

If you have symptoms, but no travel history to an outbreak area, you could go to a clinic and have a rapid test done to rule out more common viruses, such as influenza, Merson advised.

If you have mild symptoms and are worried that you might have COVID-19, call your doctor or local health department instead of going to a clinic or doctor's office without an appointment, to ensure you aren't potentially exposing others to the virus. If you have severe breathing problems, seek medical attention or call 911 immediately, recommends Dr. Jennifer Ashton, ABC News’ chief medical correspondent.

You should let the person you speak with know that you have respiratory problems and need to be isolated and seen right away.","Concerned.

Stay on top of CDC updates and guidance, as well as from state and local health departments. Take the time to sit down and plan for what you'll do if local transmission of the virus occurs in your city.

Even the experts aren't completely sure what's going to happen.

""It's hard,"" said Dr. Stanley Perlman, a professor of microbiology and immunology at the University of Iowa, who described receiving a text message from his son asking whether he should stock up on canned goods.

""I would be inclined not to,"" Perlman said. ""We know from other cases that it actually tends to make things worse, because people stock up and then we don't have anything.""

COVID-19 appears to be more fatal than the flu, with some studies pegging COVID-19's fatality rate at around 3.4%, while the flu's fatality rate is less than 1%. Still, experts anticipate that COVID-19's mortality rate will fall when more people with mild symptoms are diagnosed with the virus. Typically, the sickest people tend to seek health care treatment first. Compared to past coronaviruses, such as SARS and MERS, however, most COVID-19 cases are mild.

""For most people, it's going to mean no disease or a mild illness,"" Merson said. Unfortunately, that mildness could also explain why COVID-19 is spreading more rapidly than highly fatal diseases do. HIV, for example, ""was very fatal, but hard to transmit,"" he added."
ABC News,https://abcnews.go.com/Health/coronavirus-symptoms-questions-covid-19-answered/story?id=69768760,Should I cancel my upcoming trip to Europe or Asia?,"The decision may be out of your hands.

The U.S. State Department has a Level 4 global health advisory in place, which says that Americans should avoid all international travel because of COVID-19.

""In countries where commercial departure options remain available, U.S. citizens who live in the United States should arrange for immediate return to the United States, unless they are prepared to remain abroad for an indefinite period,"" the advisory reads.

The situation is fluid and rapidly evolving, so you should check the State Department's website often and use that information to inform your decisions.

Many countries experiencing outbreaks are implementing travel restrictions, mandatory quarantines and border closures with little advanced notice, and some Americans traveling in those countries have found themselves stranded, without a way to get home. 

If you are in a high-risk group, meaning you are an older person, or have an underlying medical condition, ""you should now be thinking about social distancing,"" Schaffner advised.

""Part of that is thinking really hard about whether you need to get on an airplane,"" he said. ""I think this is a good time to postpone those trips.""

Even if your trip is to a low-risk area, traveling on a plane will mean being in an enclosed space with fellow travelers. The CDC now recommends that all travelers, especially those with underlying health conditions, avoid cruise ships.","The first case of coronavirus was detected in the Chinese city of Wuhan on December 12, 2019.

The virus is first thought to have originated from the city's Huanan Seafood Wholesale Market."
ABC News,https://abcnews.go.com/Health/coronavirus-symptoms-questions-covid-19-answered/story?id=69768761,Do quarantines work?,"""The short answer is apparently, yes, and better than we thought,"" Schaffner said.

After China imposed strict quarantine and lockdown measures in hard-hit Hubei province, new cases of COVID-19 appeared to decline, Schaffner explained.

MORE: What life is like under novel coronavirus quarantine
It's too soon to know the full effect of that quarantine, which is essentially an unprecedented public health experiment. And imposing strict quarantine measures on an entire community may not be replicable outside of China.

Italy has locked down its entire population of 60 million, a dramatic move to try to tamp down on a rising number of cases and deaths.","The first cases of COVID-19 were believed to be linked to a live-animal market in China, but the virus has since been spreading from person to person.

Person-to-person transmission is most likely between people in close contact, about 6 feet. When a person infected with novel coronavirus sneezes or coughs, respiratory droplets could land on people nearby or could possibly be inhaled by those people.

While the virus can be transmitted by touching objects or surfaces contaminated with COVID-19, health experts don't currently believe that's primarily how it's transmitted."
ABC News,https://abcnews.go.com/Health/coronavirus-symptoms-questions-covid-19-answered/story?id=69768762,Is the outbreak a pandemic?,"Yes.

The World Health organization defines a pandemic as ""the worldwide spread of a new disease,"" and on March 11, the WHO's director general announced that COVID-19 met those criteria.

Dr. Tedros Adhanom Ghebreyesus, the WHO's director general, stressed that the designation doesn't mean that citizens should stop trying to contain the virus.

""Find, isolate, test and treat every case, and trace every contact,"" he said. ""Ready your hospitals. Protect and train your health care workers.""

For the United States, community transmission in several cities and a growing number of cases that aren't able to be traced to travel or contact with individuals diagnosed with COVID-19 makes it probable that there will be extensive spread here.

""A lot of us have been sitting back and watching this from a distant place,"" Schaffner noted, adding that the game has changed in recent days. He cautioned against ""running around like a chicken with its head cut off,"" and recommended thinking ahead. A large increase in cases in your community could mean school closures or other changes to your routine.

""Be prudent and be prepared to participate as much as you can in social distancing when that becomes the order of the day,"" he said. If health authorities advise against mass gatherings, for example, don't make a fuss.

""It shouldn't panic you,"" Schaffner said. ""But it should get your attention.""","The first cases of COVID-19 were believed to be linked to a live-animal market in China, but the virus has since been spreading from person to person.

Person-to-person transmission is most likely between people in close contact, about 6 feet. When a person infected with novel coronavirus sneezes or coughs, respiratory droplets could land on people nearby or could possibly be inhaled by those people.

While the virus can be transmitted by touching objects or surfaces contaminated with COVID-19, health experts don't currently believe that's primarily how it's transmitted."
ABC News,https://abcnews.go.com/Health/coronavirus-symptoms-questions-covid-19-answered/story?id=69768763,How concerned should I be -- how does COVID-19 compare to the flu?,"Concerned.

Stay on top of CDC updates and guidance, as well as from state and local health departments. Take the time to sit down and plan for what you'll do if local transmission of the virus occurs in your city.

Even the experts aren't completely sure what's going to happen.

""It's hard,"" said Dr. Stanley Perlman, a professor of microbiology and immunology at the University of Iowa, who described receiving a text message from his son asking whether he should stock up on canned goods.

""I would be inclined not to,"" Perlman said. ""We know from other cases that it actually tends to make things worse, because people stock up and then we don't have anything.""

COVID-19 appears to be more fatal than the flu, with some studies pegging COVID-19's fatality rate at around 3.4%, while the flu's fatality rate is less than 1%. Still, experts anticipate that COVID-19's mortality rate will fall when more people with mild symptoms are diagnosed with the virus. Typically, the sickest people tend to seek health care treatment first. Compared to past coronaviruses, such as SARS and MERS, however, most COVID-19 cases are mild.

""For most people, it's going to mean no disease or a mild illness,"" Merson said. Unfortunately, that mildness could also explain why COVID-19 is spreading more rapidly than highly fatal diseases do. HIV, for example, ""was very fatal, but hard to transmit,"" he added.","We don't know.

Because COVID-19 is a new virus, we don't know whether pregnant women are more susceptible than the general population. Based on data from previous coronaviruses, like SARS and MERS, some experts believe that pregnant women may be at higher risk for severe illness and death, but that data is limited and far from conclusive.

For now, neither the CDC nor the American College of Obstetricians and Gynecologists recommend any specific guidance for pregnant women beyond what they recommend to the general public."
ABC News,https://abcnews.go.com/Health/coronavirus-symptoms-questions-covid-19-answered/story?id=69768764,Can kids get coronavirus?,"Yes, but kids rarely have severe symptoms.

Reports from China include children who have contracted COVID-19, but those children typically had very mild symptoms and the majority of cases were diagnosed in adults. Severe complications from coronavirus, like acute respiratory distress syndrome and septic shock, are rare among kids. Similar to adults, children with underlying health problems may be at increased risk risk for complications associated with COVID-19.
","""The short answer is apparently, yes, and better than we thought,"" Schaffner said.

After China imposed strict quarantine and lockdown measures in hard-hit Hubei province, new cases of COVID-19 appeared to decline, Schaffner explained.

MORE: What life is like under novel coronavirus quarantine
It's too soon to know the full effect of that quarantine, which is essentially an unprecedented public health experiment. And imposing strict quarantine measures on an entire community may not be replicable outside of China.

Italy has locked down its entire population of 60 million, a dramatic move to try to tamp down on a rising number of cases and deaths."
